Gender,Price (INR),NumImages,ProductID,Description,PrimaryColor
Girls,749,3,10256981,"Dark light fade navy blue jeansBootcut, mid-riseClean lookStretchableButton and zip closure5 pocketLength: regular",Blue
Men,519,5,10044549,"Multicoloured printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem", Red
Men,1439,7,10187223,"Navy Blue solid jacket, has a stand collar, 3 pockets, zip closure, long sleeves, straight hem, and unlined",Blue
Boys,849,7,10256465,"Blue checked casual reversible shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Women,1223,6,10249027,"Blue and brown colourblocked handheld bag, has a zip closure3 main compartments, 1 inner pocketDetachable sling strapTwo Handles",Blue
Women,3999,5,10029077,"A pair of black pointed toe pumps, has regular styling, backstrap detailLeather upperCushioned footbedTextured and patterned outsole, has a kitten heelWarranty: 6 monthsWarranty provided by brand/manufacturer", Black
Women,2295,6,10033695,"Shade Name: Night LifeWhat it is?This non-drying formula delivers matte, full-coverage colour that feels utterly weightless and provides a powder-soft, airbrushed finish on lips. A unique blend of waxes and oils melts and transforms into an ultra-thin, featherweight powder, while spherical pigments float across lips to blur imperfectionsWhat it does?Velvet Powders: Lend lips a matte, airbrushed finish that stays put for eight hours.Optical Brightening Pigments: Provide intense, vibrant color.Lightweight Waxes and Oils: Create a hydrating-yet-weightless veil of color that melts seamlessly onto lips.", Matte
Men,839,5,10000599,"Khaki solid mid-rise regular trousers, has a button closure, four pockets", Khaki
Boys,999,4,10135091,"Red and black Glow-in-the-Dark print T-shirt, has a round neck, and long sleeves", Red
Men,999,5,10012373,"Maroon striped T-shirt, has polo collar, short sleeves", Maroon
Unisex,768,4,10027145,Set Content: 1 flower vase  Colour: Multicoloured Pattern: Chevron Shape: Cylindrical Material: Ceramic , Red
Men,879,5,10180609,"Brown and white striped T-shirt, has a polo collar, and short sleeves", White
Women,1714,5,10234787,"Grey checked blazer, has a shawl lapel, single-breasted with a hook closure, long sleeves, two pockets, has an attached lining", Grey
Women,599,5,10261863,"Mustard brown solid woven layered regular top, has a high neck, sleeveless, button closure", Red
Boys,299,3,10255817,"Orange and white brand logo print T-shirt, has a round neck, short sleeves", White
Men,699,5,10056473,"Off-white and blue solid mid-rise has button closure, four pocketsThe product does not come with the belt",Blue
Women,3999,5,10253201,"Special Technology:SoftFoam + sockliner: Sock structure for flexible fit and long-lasting comfortProduct Details:A pair of round-toe black sneakers, has regular styling, lace-up detailFull suede upper with synthetic leather overlaysClassic PUMA basket silhouetteComfortable slip-on sock structure with lace closureProgressive rubber tooling outsole for better traction and gripSynthetic leather PUMA Formstrip on lateral sidePUMA branding on medial side and tongueTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturerAbout the shoes:The PUMA Vikky v2 is a women's-specific basketball court style. A smooth suede upper combines with a completely redesigned progressive rubber cupsole for a fresh update on a modern classic.", Black
Women,452,4,10135481,"Gold-plated handcrafted classic kundan drop earrings, has beaded detailSecured with a post and back closure", Gold
Men,670,4,10019223,"Pack of 2 Navy & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes..",
Women,756,5,10054915,"Yellow solid knitted bodycon dress with tie-up detail, has shoulder straps, straight hem", Yellow
Women,703,4,10109009,"Navy Blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and multiple slits",Blue
Men,599,5,10207589,"Green printed T-shirt, has a round neck, and short sleeves", Green
Men,4975,6,10215877,"Pack Contains: Single watchDisplay: AnalogueMovement: quartzPower Source: batteryDial style: charcoal grey solid round stainless steel dialFeatures: Reset timeStrap Style: Silver toned, bracelet style, stainless steel strap with a butterflyWater resistance: 30 mComes in a signature SCUDERIA FERRARI caseWarranty: 2 yearsWarranty provided by brand/ manufacturer", Grey
Unisex,2799,7,10248337,"Special TechnologyEngineered using Softfoam technologyThe 4DFit supportive system ensures an engineered fit to your foot through a flexible molded cage.The soft density PropelFoam midsole compound offers extra response and lightweight cushioning for comfort and agility with every stride.Product DetailsA pair of black & white running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedFull rubber outsole enables traction and durabilityWarranty: 3 monthsWarranty provided by brand/manufacturer", Black
Men,3359,5,10268429,"Blue and White printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Women,499,5,10193867,"Pack of 3 assorted mid-rise hipster briefs,inner elasticated waistbandDisclaimer: The final product delivered might vary in colour from the display here",
Unisex,2999,8,10252789,"Special Technology:SoftFoam+sockliner: Sock-like structure provides flexible fit and long-lasting comfortDesign Details:A pair of round-toe black sneakers, has regular styling, lace-up detailSynthetic Leather upperPerforated details on the vampPadded collar and tongueColor block designFull rubber outsole provides better gripCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Black
Women,670,5,10019845,"Blue solid woven regular top with lace inserts, has a round neck, short sleeves, and button closure",Blue
Boys,489,4,10238983,"Red and Black printed T-shirt, has a round neck, and short sleeves with applique detail", Red
Boys,849,4,10257037,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
Men,1499,5,10027365,"Black and beige printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits", Black
Men,6956,5,10051903,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Chronograph, Date Aperture, Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 100 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case", White
Girls,699,3,10180507,"Navy Blue printed T-shirt, has a round neck, and short sleeves",Blue
Women,1879,6,10186375,"Beige solid shoulder bag, has a zip closure1 main compartment, 2 external and 4 inner pocketsTablet sleeve: NoTwo Handles with a detachable sling strap", Beige
Men,1149,5,10196027,"White and Red checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Red
Women,1699,4,10051909,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid asymmetric metal dialFeatures: Reset TimeStrap style: Blue regular, leather strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Sonata case",Blue
Women,849,5,10265461,"Mustard yellow solid knitted sheath dress, has a round neck, three-quarter sleeves, and straight hem", Yellow
Women,503,5,10016715,"Black and Maroon embroidered straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits", Red
Men,1377,5,10255071,"Purple and white printed kurta with churidarPurple straight knee length kurta, has a mandarin collar, three-quarter sleeves, straight hemWhite solid churidar, drawstring closureWhat is Made to Measure?Customised kurta set according to your body measurements. So please refer to the Size Chart to pick your perfect size.", Purple
Women,999,5,10273999,"Grey and black solid high-rise trousers, slip-on closure, and 2 pockets", Black
Women,986,4,10222997,"Design Detail:Navy Blue solid saree and has a zari borderBlouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look like",Blue
Women,519,5,10239479,"Red solid tunic, has a shirt collar, short sleeves with tie-up details, high-low hem", Red
Men,699,5,10017085,"Grey printed T-shirt, has a round neck, and long sleeves", Grey
Women,499,3,10117223,"Pack of four assorted shoeliners, each has an elasticated mouth and a flat-toe seam.Note: The final product delivered might vary in colour and prints from the display here",
Boys,584,5,10138239,"Blue checked casual shirt, has a spread collar, long sleeves, zip closure, curved hem, and 2 flap pockets",Blue
Men,5160,5,10174533,"A pair of round-toe black monks, has regular styling, buckle detailLeather upperCushioned footbedTextured and patterned outsole, has a stacked heelWarranty: 1 monthWarranty provided by brand/manufacturer", Black
Men,3599,5,10268423,"White and Blue checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Men,699,5,10092439,"Teal blue printed casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, 1 patch pocket",Blue
Boys,674,4,10136023,"Blue checked mid-rise trousers, button closure, and 4 pockets",Blue
Men,449,5,10231903,"Black printed T-shirt, has a round neck, and short sleeves", Black
Men,1371,5,10201685,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket",Blue
Men,399,5,10064163,"Yellow and Black printed T-shirt, has a round neck, and short sleeves", Yellow
Women,899,7,10009617,"Blue dark wash 5-pocket low-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
Women,1999,5,10064585,"Black, white and red colourblocked sweater, has a round neck, long sleeves, and ribbed hem", Black
Men,919,5,10188061,"Charcoal grey solid sweatshirt with melange effect and side taping detail, has a stand collar, two pockets, long sleeves, zip closure, straight hem", Grey
Boys,559,4,10136189,"Grey self-design mid-rise trousers, button closure, and 4 pockets", Grey
Women,1119,6,10207485,"A pair of navy blue and Golden printed woven flared fit Palazzos, opaque, and slip-on closure",Blue
Boys,949,6,10213389,"Rust red solid mid-rise trousers, button closure, and 5 pockets", Red
Men,399,5,10241807,"Grey printed T-shirt, has a round neck, and short sleeves", Grey
Men,1799,5,10124997,"A pair of navy blue running shoes, has regular Styling, lace-ups detail  Textile upper  Cushioned footbed  Textured and patterned outsole  Warranty: 3 months",Blue
Men,1119,5,10028151,"Blue checked formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",Blue
Women,897,5,10030923,"Yellow and beige solid A-line kurta, has a round neck, three-quarter sleeves, flared hem", Yellow
Women,759,5,10206915,"Off-white and navy blue self striped straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits",Blue
Men,3999,5,10029089,A pair of coffee brown solid comfort sandalsLeather upper with velcro closureCushioned footbedPatterned rubber outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer, Brown
Men,503,5,10035823,"Fuchsia solid T-shirt, has a polo collar, and short sleeves",
Unisex,749,4,10099065,Set content: Single Door curtainsColour: BeigePattern: Abstract DoorLight blocking: RegularFitting: EyeletLining: No, Beige
Women,1359,7,10131693,"A pair of black textured open toe wedges, has regular styling, backstrap detail with buckle closureSynthetic upperCushioned footbedTextured and patterned outsole, has a wedge heelWarranty: 1 month Warranty provided by brand/manufacturer", Red
Women,879,5,10185231,"Olive green and pink printed layered straight kurta, has a round neck, long sleeves, and straight hem", Green
Boys,584,4,10136059,"Yellow printed sweatshirt, has a round neck,  curved hem", Yellow
Unisex,1949,4,10189691,Set content: 6 Whisky GlassesColour: Transparent & OrangePattern: SolidCapacity: 310 ML, Orange
Men,489,5,10000369,"Black printed round neck t-shirt,short sleeves", Black
Women,1159,5,10111025,"A pair of black & silver-toned open-toed flats, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole", Black
Women,547,5,10144007,"Black solid sweatshirt, has an attached hood, long sleeves, one pocket", Black
Women,449,5,10014677,Tan textured beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer, Red
Unisex,8448,5,10163839,Content: One carpetColour: Red and Grey Fabric: PolyesterShape: RectangularPattern: Geometric, Red
Men,1299,7,10064497,"Navy Blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
Women,869,4,10224723,Silver-toned and gold-toned Geometric Earrings and silver-platedWarranty: 6 monthsWarranty provided by brand/manufacturer, Gold
Men,539,5,10012867,A pair of gold-toned geometric solid cufflinksComes in a signature JEWEL JUNCTION case, Gold
Men,399,5,10064109,"Red and grey printed T-shirt, has a round neck, and short sleeves", Red
Women,599,5,10168641,"White and Pink floral print knitted regular crop top, has a high neck, and three-quarter sleeves",Blue
Women,425,5,10000763,Black and red solid medium-coverage beginners braNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red
Men,1439,7,10187185,"Grey printed jacket, has a mandarin collar, 2 pockets, zip closure, long sleeves, straight hem, and unlined ", Grey
Women,699,5,10074637,"A pair of Coral and Orange printed woven flared fit Palazzos, opaque, 2 pockets, and slip-on closure", Red
Women,949,6,10234437,"A pair of pink open toe heels, has mid-top styling, ankle loop detailSynthetic Patent upperCushioned footbedTextured and patterned outsole, has a stiletto heelWarranty: 1 monthWarranty provided by brand/manufacturer", Pink
Women,431,4,10139027,Gold-toned and pink Acrylic Floral Statement Cocktail Adjustable RingOcassion: WesternStone type: Artificial stoned and beads, Pink
Women,468,5,10054419,"White solid knitted bardot crop top, off-shoulder and has long sleeves", White
Women,892,4,10016727,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure", Maroon
Women,4531,3,1000729,"A pair of charcoal grey Sterling silver drop earrings with textured detail, has a small round base and an interlinked dangler with small dangling detail at the bottomSecured with a fish-hook ear wire", Grey
Men,1034,6,10155247,"Beige and Brown printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Brown
Unisex,1119,3,10232571,Content: One Runner Colour: Blue Fabric: Polyamide nylon Shape: RectangularPattern: Printed Features: Anti-Skid,Blue
Men,7996,5,10052141,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round stainless steel dialFeatures: Reset TimeStrap style: Silver-Toned bracelet style, stainless steel strap with a foldover closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Titan case", Brown
Men,8449,6,10143559,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closureNon-Padded backZip PocketPadded shoulder strap: Non-PaddedWater-resistance: No,Blue
Women,550,5,10074641,"Green embroidered woven regular top, has a round neck, three-quarter puff sleeves, and button closure", Green
Men,1044,5,10254397,"Navy Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
Boys,749,4,10255435,"Green printed pullover sweater, has a round neck, long sleeves, and ribbed hem", Green
Women,1870,5,10033711,"Shade Number:  301Shade Name: Lilac StrobeWhat it is:The unique blend of oils in this hybrid formula offers the shine and comfort of a gloss, while smoothing polymers provide the durable, hydrating color of a lipstick. A custom, concave applicator hugs the contours of the mouth and dispenses the perfect amount of pigment that can be worn alone or layered over other lip products for extra dimension and sheen. This full-coverage fluid deposits inky color with a vivid, vinyl finish. Dermatologist-tested.Features:Glossy Oils: Provide a comfortable, non-sticky feel and a lacquer-like finish.Liqui-Ink Technology: Uses a minimal amount of waxes to deposit intense pigment with the weightless glide of a gloss.Ultra-Fine Pigments: Offer intense, full-coverage color that lasts.",
Men,1274,4,10059875,"Red self-design formal shirt, has a spread collar, long sleeves, button placket, and curved hem", Red
Boys,799,4,10247269,"Navy Blue solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem",Blue
Boys,524,5,10255831,"  Navy blue and white Tshirt for boys   Striped   Regular length   Polo collar   Short,  regular sleeves   Knitted cotton fabric   Button closure   Fashion trends come and go, but a few manage to break the cycle and earn wardrobe-essential status. A basic, if you will. New Basics resurface year after year, and outfits wouldnt be the same without them. These pieces are tried-and-true wardrobe staples and act as the foundation to every good look.",Blue
Men,1999,5,1026423,"Green sweatshirt, has an attached hood with a drawstring fastening, long sleeves, a kangaroo pocket, a fleece lining", Green
Unisex,2550,6,10030737,"What it is Extra rich cleansing milk Features This rich cleansing milk is soap-free, so it's perfect for dry skinTransforms into an airy lather to remove impuritiesLifts away excess surface cells, pollutants and oxidized substances that can cause skin to ageYet leaves skin moisturized and protected by a veil of hydration--the right environment to support its inner defensesFor a soft, plumped and dewy feelFor dry skin",
Women,902,5,10132253,"Green solid woven A-line dress, has an off-shoulder neck with shoulder straps, short flutter sleeves, concealed zip closure, an attached lining, asymmetric hem", Green
Men,944,5,10154779,"Mustard Yellow and Navy Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",Blue
Women,2799,5,10177959,"Grey solid sweatshirt, has a hood, two pockets, long sleeves, zip closure, straight hem, two insert pockets", Grey
Men,4699,5,10244181,"A pair of round-toe navy blue sneakers, has regular styling, lace-up detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer",Blue
Unisex,629,4,10202495,Printed Polyester Pack of 2 Long Door Curtain, Green
Women,1084,5,10253773,"Multicoloured checked casual shirt, has a spread collar, three-quarter sleeves, button placket, and curved hem", Red
Men,599,5,10121079,"Blue solid T-shirt, has a polo collar, and short sleeves",Blue
Boys,539,5,10138579,"Orange and Blue checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Women,940,5,10040089,Black printed full-coverage Everyday bra Lightly Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort, Red
Women,699,5,10098519,"Olive Green printed woven A-line  top, has a tie-up neck, and three-quarter sleeves", Green
Women,569,5,10135541,"Navy Blue solid front open sweater, collarless, long sleeves, and ribbed hem",Blue
Unisex,1799,3,10232597,Content: One Runner Colour: Grey Fabric: Polyamide nylon Shape: RectangularPattern: Printed Features: Anti-Skid, Grey
Women,512,5,10017957,"Pink printed woven regular  top, has a round neck, and three-quarter sleeves", Pink
Men,1749,5,10245103,"Orange, off white and blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets",Blue
Men,539,5,10012863,A pair of gold-toned and black geometric textured cufflinks, Gold
Unisex,2065,4,10132063,"Set content: 1 soap dispenser, 1 soap dish, 1 tumbler and 1 brush holderColour: Transparent and purpleMaterial: GlassPattern: Printed", Purple
Men,1573,5,10063503,"A pair of tan brown round-toed formal derbys, has central lace-upsLeather upperCushioned footbedTextured PVC outsole, has a stacked heelWarranty: 3 months against manufacturing defectsWarranty provided by brand/manufacturer", Red
Men,6649,5,10015915,"Brown self-checked single-breasted formal suitBrown self-checked blazer, has a notched lapel, single breasted with double button closure, long sleeves, three pockets, double vented back hem, an attached liningBrown self-checked waistcoat, has a V-neck, sleeveless, two pocketsBrown self-checked mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops", Brown
Women,3599,7,10131667,"A pair of black open toe flatforms with laser cuts, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a flatform heelWarranty: 1 monthWarranty provided by brand/manufacturer", Black
Boys,404,3,10138933,"Blue solid casual shirt, has a spread collar, short sleeves, button placket, and curved hem",Blue
Women,610,5,10163631,"A pair of charcoal grey and black colourblocked high-rise yoga tights, has a slip-on closure", Black
Unisex,399,3,10024519,Set content: 1 table mat Shape: Rectangle Colour: Yellow and red Pattern: Printed Suitable For: 1 seater table Material: Cotton , Red
Women,599,5,10185375,"Pink and Golden printed straight kurta with sequinned detail, has a round neck, three-quarter sleeves, straight hem, and side slits", Pink
Men,1274,5,10249417,"Yellow solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Yellow
Men,347,5,10194901,"Multicoloured printed woven pocket square, has a stitched border.", Red
Men,779,5,10017741,"Grey printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket", Grey
Men,2749,5,1013851,"Black solid jacket, has a mock collar, 4 pockets, zip closure, long sleeves, straight hem, and polyester lining", Black
Women,1699,5,10106163,"The HRX Women's Yoga Tights are designed to stay in place no matter what asana you're in. Constructed with stretchable, lightweight fabric and seamless technology, you'll never have to worry about your skin chafing while you workout.FeaturesSeamless construction prevent chafing. Stretchable jacquard fabric allows easy 360 degree movement.Engineered with Rapid Dry technologyColour: Jet Black MelangeFit: Regular FitKnit Tights", Black
Women,1436,4,10036923,"Beige and Gold-toned tussar  embroidered saree and has a zari border Blouse PieceThe model is wearing a blouse from our stylist's collection, see the image for a mock-up of what the actual blouse would look like", Red
Boys,649,3,10213093,"Pink solid T-shirt, has a polo collar, and short sleeves", Pink
Men,899,5,10154149,"Blue solid chambray smart casual shirt, has a spread collar, long sleeves, snap button placket, curved hem, and 1 patch pocket",Blue
Men,944,5,10155979,"Yellow printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Yellow
Men,2636,5,10052163,"Display: Analogue and DigitalMovement: QuartzPower source: BatteryDial style: Solid round metal dialFeatures: Multi Function, Reset Time, LED BacklightStrap style: Black regular, leather strap with a tang closureWater resistance: 50 mWarranty: 2 yearsWarranty provided by brand/manufacturer Comes in a signature Fastrack case", Grey
Unisex,699,5,10140047,Set content: 1 Queen bedsheet with 2 pillow coversQuality: RegularThread count: 144Colour: Beige and BrownPattern: Floral, Brown
Women,1495,5,10080239,"Design Detail:Yellow   printed saree and has a woven design border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look like", Yellow
Unisex Kids,802,5,10145677,Blue backpack2 main compartments with zip closurePadded shoulder strap: Padded2 Stash PocketsWater-resistance: NoWarranty: 1 yearWarranty provided by manufacturer/brand owner,Blue
Men,959,5,10254489,"Beige self-design low-rise trousers, button closure, and 4 pocketsThe stylists have styled these trousers with a belt from their personal collection. These trousers do not come with a belt.", Beige
Girls,1999,3,10256935,Dark heavy fade navy blue jeansRegular fitMid-riseClean lookStretchable5 pocketLength: regular,Blue
Women,447,5,10070533,"Navy Blue printed woven regular  top, has a round neck, three-quarter sleeves, and button closure",Blue
Men,594,7,10064525,"Blue medium wash 5-pocket mid-rise jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
Women,319,3,10182257,Gold-Toned and beige necklaceMaterial and stone type: Metal with Artificial BeadsClosure: Slip-On, Red
Unisex,3199,7,10253151,"A pair of round-toe white sneakers, has regular styling, lace-up detailSynthetic upper with stitching detailsRubber outsole with POWER and BRAKE wording for the perfect gripCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", White
Women,1195,5,10001491,"Design Detail:Navy Blue kanjeevaram  woven design saree and has a zari border Blouse PieceThe model is wearing a blouse from our stylists collection, see the image for a mock-up of what the actual blouse would look likeOrigin:Kanjeevaram sarees are made in the Kanchipuram region in Tamil Nadu. The fabric bears the images of all the scriptures embossed on the walls of the temples of the Kanchipuram village.Fabric:Art silk is manufactured by synthetic fibres like rayon. It's light in weight and is soft on the skin for comfort in summers.",Blue
Men,1294,5,10149807,"Teal blue solid mid-rise trousers, button closure, and 6 pockets",Blue
Men,3747,6,1010498,"A pair of black 5-pocket mid-rise jeans, has a button fly with a button closure, and a waistband with belt loops", Black
Men,5602,6,10240201,"What it is:L'HOMME LACOSTE, the fragrance for audacious and tenacious men, who lead the game with style & elegance. Features:Top notes: Mandarin and Rhubarb AccordHeart notes: Black Pepper and GingerBase notes: Cedar Wood",
Unisex,2144,7,10252801,"A pair of round-toe navy blue slip-on sneakers, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer",Blue
Women,1749,3,10013617,Black solid full-coverage Sports bra with mesh detailNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red
Women,1299,6,10127115,"Black printed woven empire  top, has a tie-up neck, and three-quarter sleeves", Black
Men,264,5,10245837,"Blue colourblocked T-shirt, has a round neck, short sleeves, one patch pocket",Blue
Women,899,4,10263009,"White printed dress, has a round neck, short sleeves, high-low hem", White
Men,3749,5,10050247,"Blue solid super slim-fit formal blazer, has a notched lapel, single-breasted with double-button closures, long sleeves, two flap pockets, one chest welt pocket, an attached lining, and a double-vented back hem.",Blue
Unisex,699,3,10115273,Content: 1 piece mugPattern: PrintedFinish: MatteMaterial: CeramicFeatures: Dishwasher and Microwave Safe, Red
Boys,584,5,10138873,"White & blue colourblocked casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Unisex,14998,5,10163833,Content: One carpetColour: Navy Blue and GreyFabric: WoolShape: RectangularPattern: Printed,Blue
Women,1299,5,10224375,"Multicoloured printed woven styled back top with tie-up detail, has a Peter Pan collar, short sleeves, and button closure", Red
Unisex,896,3,10065623,Set Content: 1 flower vaseColour: RedPattern: StripedShape: Bottle, Red
Men,809,5,10155973,"Burgundy and navy blue checked smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, 1 patch pocket",Blue
Men,2699,4,10159023,"Blue dark wash 5-pocket mid-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue
Women,499,5,10243509,Soft knit.Short sleeves.Crewneck.,
Women,559,5,10262013,"Green and white polka dots print woven shirt style top, has a tie-up neck, long bell sleeves, button closure", Green
Men,670,4,10019073,"Pack of 2 Blue & Light Blue regular-fit printed boxers with a microfibre waistband and pockets on both sides.Key Features:Intelli Ease:Our Intelli Ease fabric technology makes for the most luxurious comfort wear that guarantees unmatched lightness, softness and breathability. Fit: Relaxed fit for everyday wear.Functionality: Dual side pockets to keep important belongings and a concealed button placket.Waistband:Soft, Anti-roll, microfibre waistband on the inside with comfort stretch that won't leave any marks.Skin Hygiene:Enhanced with antimicrobial finish to prevent unpleasant odours and rashes..",
Men,1299,6,10064851,"Coral Pink with a tinge of Orange solid formal shirt, has a spread collar, long sleeves, button placket, and curved hem", Pink
Men,3004,5,10214943,"Blue printed slim-fit casual blazer, has a notched lapel, single-breasted with double button closure, long sleeves, two flap pockets, one chest welt pocket, an attached lining and a vented back hem.",Blue
Boys,404,3,10138997,"Red solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem", Red
Women,569,7,10095323,"Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue
Women,4549,7,10253387,"About the shoeBe a contender in our game-changing IGNITE Contender Interest Sneakers. These state-of-the art athletic shoes feature our evoKNIT technology, hugging your foot into the shoe for superior comfort and a lock down you can trust - so you can be somebody.Special TechnologyIGNITE: PUMA's foam midsole and branded heel cage supports and stabilises by locking the heel onto the platformevoKNIT: PUMA's knitted design and seamless technology for lightweight, breathable, form-fitting comfort and the ultimate ergonomic fitHas Softfoam technologyProduct DetailsA pair of purple running sports shoes, has regular styling, lace-up detailMoulded rubber heel clip designed to secure the heelRubber provides durability and traction in the heel and forefootPUMA Wordmarks on tongue and heelWarranty: 3 monthsWarranty provided by brand/manufacturer", Purple
Men,1299,7,10092093,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",Blue
Women,714,5,10013025,"White self-design knitted regular  top, has a round neck, sleeveless, and concealed zip closure", White
Boys,539,3,10005243,"Maroon solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem", Maroon
Boys,1379,4,10242471,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Men,1034,6,10254593,"Brown and black printed formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket", Black
Men,1349,5,10018851,"Peach-Coloured self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket", Red
Women,639,6,1010439,"Maroon knitted sporty jacket, has a mock collar with button detail, a concealed full zip closure, three-quarter sleeves, two welt pockets", Maroon
Men,1469,5,10245349,"Navy Blue striped casual shirt, has a spread collar, long sleeves, button placket, and curved hem",Blue
Men,599,5,10264897,"Black printed T-shirt, has a round neck, and short sleeves Design Details-PEPE JEANS MENS SLIM FIT SHORT SLEEVE ROUND NECK TSHIRT WITH SHINY CHEST PRINT.", Black
Women,559,5,10185225,"Olive green and Golden printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits, hook closures", Green
Unisex Kids,895,5,10052385,"Display: AnalogueMovement: QuartzPower source: BatteryDial style: Solid round plastic dialFeatures: Reset TimeStrap style: Black regular, rubber strap with a tang closureWater resistance: 30 mWarranty: 1 yearWarranty provided by brand/manufacturer Comes in a signature Zoop case", Black
